timestamp,gps_altitude,altimeter_1_altitude,altimeter_2_altitude,ok1,ok2,estimatedHeight
496,45.6908,0,0,0,0,0
497,45.691,0,0,0,0,0
498,45.691,0,0,0,0,0
499,45.6909,0,0,0,0,0
500,45.6909,0,0,0,0,0
501,45.6964,0,0,0,0,0
502,45.6964,0,0,0,0,0
503,45.6965,0,0,0,0,0
504,45.6964,0,0,0,0,0
505,45.6964,0,0,0,0,0
506,45.6964,0,0,0,0,0
507,45.6965,0,0,0,0,0
508,45.6964,0,0,0,0,0
509,45.6966,0,0,0,0,0
510,45.6965,0,0,0,0,0
511,45.7018,0,0,0,0,0
512,45.702,0,0,0,0,0
513,45.7019,0,0,0,0,0
514,45.702,0,0,0,0,0
515,45.6934,0,0,0,0,0
516,45.6935,0,0,0,0,0
517,45.6935,0,0,0,0,0
518,45.6935,0,0,0,0,0
519,45.6935,0,0,0,0,0
520,45.6936,0,0,0,0,0
521,45.6934,0,0,0,0,0
522,45.7031,0,0,0,0,0
523,45.7031,0,0,0,0,0
524,45.7032,0,0,0,0,0
525,45.7032,0,0,0,0,0
526,45.7032,0,0,0,0,0
527,45.7032,0,0,0,0,0
528,45.7032,0,0,0,0,0
529,45.7032,0,0,0,0,0
530,45.7032,0,0,0,0,0
531,45.7034,0,0,0,0,0
532,45.7086,0,0,0,0,0
533,45.7087,0,0,0,0,0
534,45.7087,0,0,0,0,0
535,45.7042,0,0,0,0,0
536,45.7043,0,0,0,0,0
537,45.7043,0,0,0,0,0
538,45.7043,0,0,0,0,0
539,45.7044,0,0,0,0,0
540,45.7043,0,0,0,0,0
541,45.7044,0,0,0,0,0
542,45.7097,0,0,0,0,0
543,45.7097,0,0,0,0,0
544,45.7098,0,0,0,0,0
545,45.7099,0,0,0,0,0
546,45.7098,0,0,0,0,0
547,45.7098,0,0,0,0,0
548,45.7098,0,0,0,0,0
549,45.7099,0,0,0,0,0
550,45.7099,0,0,0,0,0
551,45.7099,0,0,0,0,0
552,45.7098,0,0,0,0,0
553,45.7151,0,0,0,0,0
554,45.7152,0,0,0,0,0
555,45.7038,0,0,0,0,0
556,45.7039,0,0,0,0,0
557,45.7039,0,0,0,0,0
558,45.7039,0,0,0,0,0
559,45.704,0,0,0,0,0
560,45.704,0,0,0,0,0
561,45.7041,0,0,0,0,0
562,45.704,0,0,0,0,0
563,45.7135,0,0,0,0,0
564,45.7135,0,0,0,0,0
565,45.7135,0,0,0,0,0
566,45.7136,0,0,0,0,0
567,45.7136,0,0,0,0,0
568,45.7137,0,0,0,0,0
569,45.7137,0,0,0,0,0
570,45.7137,0,0,0,0,0
571,45.7138,0,0,0,0,0
572,45.7137,0,0,0,0,0
573,45.7136,0,0,0,0,0
574,45.7131,0,0,0,0,0
575,45.7131,0,0,0,0,0
576,45.6964,0,0,0,0,0
577,45.6964,0,0,0,0,0
578,45.6964,0,0,0,0,0
579,45.6965,0,0,0,0,0
580,45.6965,0,0,0,0,0
581,45.6965,0,0,0,0,0
582,45.6965,0,0,0,0,0
583,45.6965,0,0,0,0,0
584,45.706,0,0,0,0,0
585,45.706,0,0,0,0,0
586,45.7061,0,0,0,0,0
587,45.7061,0,0,0,0,0
588,45.7061,0,0,0,0,0
589,45.7061,0,0,0,0,0
590,45.7062,0,0,0,0,0
591,45.7062,0,0,0,0,0
592,45.7062,0,0,0,0,0
593,45.7062,0,0,0,0,0
594,45.7061,0,0,0,0,0
595,45.7156,0,0,0,0,0
596,45.7063,0,0,0,0,0
597,45.7064,0,0,0,0,0
598,45.7065,0,0,0,0,0
599,45.7065,0,0,0,0,0
600,45.7066,0,0,0,0,0
601,45.7065,0,0,0,0,0
602,45.7065,0,0,0,0,0
603,45.7065,0,0,0,0,0
604,45.7066,0,0,0,0,0
605,45.7158,0,0,0,0,0
606,45.7159,0,0,0,0,0
607,45.716,0,0,0,0,0
608,45.716,0,0,0,0,0
609,45.716,0,0,0,0,0
610,45.716,0,0,0,0,0
611,45.716,0,0,0,0,0
612,45.7161,0,0,0,0,0
613,45.7161,0,0,0,0,0
614,45.7161,0,0,0,0,0
615,45.7097,0,0,0,0,0
616,45.7189,0,0,0,0,0
617,45.7191,0,0,0,0,0
618,45.719,0,0,0,0,0
619,45.7191,0,0,0,0,0
620,45.7191,0,0,0,0,0
621,45.7191,0,0,0,0,0
622,45.7191,0,0,0,0,0
623,45.7191,0,0,0,0,0
624,45.7192,0,0,0,0,0
625,45.7192,0,0,0,0,0
626,45.7334,0,0,0,0,0
627,45.7335,0,0,0,0,0
628,45.7336,0,0,0,0,0
629,45.7336,0,0,0,0,0
630,45.7336,0,0,0,0,0
631,45.7336,0,0,0,0,0
632,45.7337,0,0,0,0,0
633,45.7337,0,0,0,0,0
634,45.7337,0,0,0,0,0
635,45.725,0,0,0,0,0
636,45.7251,0,0,0,0,0
637,45.7344,0,0,0,0,0
638,45.7344,0,0,0,0,0
639,45.7345,0,0,0,0,0
640,45.7345,0,0,0,0,0
641,45.7345,0,0,0,0,0
642,45.7345,0,0,0,0,0
643,45.7345,0,0,0,0,0
644,45.7346,0,0,0,0,0
645,45.7346,0,0,0,0,0
646,45.7346,0,0,0,0,0
647,45.7396,0,0,0,0,0
648,45.7397,0,0,0,0,0
649,45.7397,0,0,0,0,0
650,45.7398,0,0,0,0,0
651,45.7398,0,0,0,0,0
652,45.7399,0,0,0,0,0
653,45.7398,0,0,0,0,0
654,45.7399,0,0,0,0,0
655,45.733,0,0,0,0,0
656,45.7331,0,0,0,0,0
657,45.7331,0,0,0,0,0
658,45.7382,0,0,0,0,0
659,45.7382,0,0,0,0,0
660,45.7382,0,0,0,0,0
661,45.7383,0,0,0,0,0
662,45.7383,0,0,0,0,0
663,45.7383,0,0,0,0,0
664,45.7383,0,0,0,0,0
665,45.7384,0,0,0,0,0
666,45.7384,0,0,0,0,0
667,45.7384,0,0,0,0,0
668,45.7375,0,0,0,0,0
669,45.7376,0,0,0,0,0
670,45.7376,0,0,0,0,0
671,45.7377,0,0,0,0,0
672,45.7377,0,0,0,0,0
673,45.7378,0,0,0,0,0
674,45.7378,0,0,0,0,0
675,45.7316,0,0,0,0,0
676,45.7317,0,0,0,0,0
677,45.7317,0,0,0,0,0
678,45.7316,0,0,0,0,0
679,45.7458,0,0,0,0,0
680,45.7459,0,0,0,0,0
681,45.7459,0,0,0,0,0
682,45.746,0,0,0,0,0
683,45.746,0,0,0,0,0
684,45.7461,0,0,0,0,0
685,45.7461,0,0,0,0,0
686,45.7462,0,0,0,0,0
687,45.7463,0,0,0,0,0
688,45.7462,0,0,0,0,0
689,45.7552,0,0,0,0,0
690,45.7553,0,0,0,0,0
691,45.7554,0,0,0,0,0
692,45.7554,0,0,0,0,0
693,45.7555,0,0,0,0,0
694,45.7555,0,0,0,0,0
695,45.7453,0,0,0,0,0
696,45.7452,0,0,0,0,0
697,45.7454,0,0,0,0,0
698,45.7454,0,0,0,0,0
699,45.7454,0,0,0,0,0
700,45.7545,0,0,0,0,0
701,45.7546,0,0,0,0,0
702,45.7546,0,0,0,0,0
703,45.7546,0,0,0,0,0
704,45.7547,0,0,0,0,0
